issue_month,running_total_open_issues
2016-01-01,23.0
2016-02-01,26.0
2016-03-01,31.0
2016-04-01,15.0
2016-05-01,18.0
2016-06-01,26.0
2016-07-01,34.0
2016-08-01,31.0
2016-09-01,35.0
2016-10-01,30.0
2016-11-01,41.0
2016-12-01,43.0
2017-01-01,43.0
2017-02-01,50.0
2017-03-01,45.0
2017-04-01,46.0
2017-05-01,43.0
2017-06-01,47.0
2017-07-01,43.0
2017-08-01,44.0
2017-09-01,40.0
2017-10-01,41.0
2017-11-01,48.0
2017-12-01,50.0
2018-01-01,41.0
2018-02-01,44.0
2018-03-01,58.0
2018-04-01,45.0
2018-05-01,34.0
2018-06-01,33.0
2018-07-01,47.0
2018-08-01,42.0
2018-09-01,39.0
2018-10-01,56.0
2018-11-01,66.0
2018-12-01,62.0
2019-01-01,50.0
2019-02-01,46.0
2019-03-01,35.0
2019-04-01,52.0
2019-05-01,42.0
2019-06-01,39.0
2019-07-01,44.0
2019-08-01,39.0
2019-09-01,69.0
2019-10-01,66.0
2019-11-01,65.0
2019-12-01,47.0
2020-01-01,45.0
2020-02-01,56.0
2020-03-01,49.0
2020-04-01,45.0
2020-05-01,50.0
2020-06-01,55.0
2020-07-01,55.0
2020-08-01,40.0
2020-09-01,35.0
2020-10-01,42.0
2020-11-01,47.0
2020-12-01,42.0
2021-01-01,41.0
2021-02-01,43.0
2021-03-01,42.0
2021-04-01,48.0
2021-05-01,49.0
2021-06-01,49.0
2021-07-01,53.0
2021-08-01,45.0
2021-09-01,41.0
2021-10-01,43.0
2021-11-01,39.0
2021-12-01,44.0
2022-01-01,44.0
2022-02-01,45.0
2022-03-01,44.0
2022-04-01,52.0
2022-05-01,54.0
2022-06-01,62.0
2022-07-01,78.0
2022-08-01,68.0
2022-09-01,63.0
2022-10-01,69.0
2022-11-01,66.0
2022-12-01,71.0
2023-01-01,74.0
2023-02-01,74.0
2023-03-01,81.0
2023-04-01,94.0
2023-05-01,84.0
2023-06-01,101.0
2023-07-01,79.0
2023-08-01,68.0
2023-09-01,77.0
2023-10-01,83.0
2023-11-01,84.0
2023-12-01,85.0
2024-01-01,95.0
2024-02-01,79.0
2024-03-01,77.0
2024-04-01,75.0
